STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",01-01-2000,7.38,1545,1532,0,39,46,31,180,170,15,17
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",02-01-2000,7.61,1826,1837,0,46,54,37,180,180,21,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",03-01-2000,3.13,1045,934,0,53,60,46,230,240,10.1,13
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",04-01-2000,14.54,1841,1840,0.62,51,55,47,210,210,31.1,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",05-01-2000,17.67,851,858,0.04,38,47,28,320,300,28,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",06-01-2000,10.51,1951,1951,0,33,42,23,200,200,16.1,16
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",07-01-2000,14.09,1545,1540,0,42,49,35,270,290,31.1,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",08-01-2000,13.42,2352,531,0,34,38,29,300,290,23,28
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",09-01-2000,7.16,233,205,0.01,43,49,37,220,220,16.1,17
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10-01-2000,15.43,1703,1525,0.58,49,55,42,180,120,34,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",11-01-2000,20.8,1206,1205,0,47,53,40,240,240,44.1,49
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",12-01-2000,17,2354,524,0,44,48,39,260,290,31.1,38
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",13-01-2000,16.11,1954,2027,0.01,29,40,18,310,340,34,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",14-01-2000,25.28,1229,1229,0,19,23,14,290,290,36,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",15-01-2000,9.84,102,105,0,24,31,16,310,310,25.9,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",16-01-2000,21.25,1935,2123,0,35,47,22,310,310,45,51
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",17-01-2000,24.61,405,404,0,15,22,8,320,320,40,49
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",18-01-2000,12.75,128,219,0,12,19,4,330,330,23.9,28
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",19-01-2000,9.84,1829,1832,0,20,30,10,300,320,16.1,17
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",20-01-2000,13.42,2342,2342,0.09,24,28,20,310,310,21.9,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",21-01-2000,27.29,1901,1912,0,17,24,10,290,290,38.9,47
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",22-01-2000,18.79,1022,314,0,15,21,9,300,280,32,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",23-01-2000,7.38,1853,2243,0.01,22,27,16,50,30,14.1,15
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",24-01-2000,7.61,2341,2340,0,30,36,24,30,30,19.9,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",25-01-2000,308.03,1217,944,0.53,30,33,26,20,20,34,44
